iter	Passed	Remaining
452	14772	17837
453	14804	17805
454	14826	17759
455	14861	17729
456	14889	17690
457	14922	17659
458	14959	17631
459	14989	17596
460	15022	17564
461	15060	17537
462	15093	17505
463	15108	17452
464	15141	17421
465	15167	17381
466	15200	17348
467	15232	17315
468	15265	17282
469	15297	17250
470	15312	17197
471	15345	17166
472	15381	17137
473	15415	17106
474	15452	17079
475	15485	17047
476	15506	17001
477	15530	16960
478	15563	16928
479	15598	16897
480	15631	16866
481	15640	16808
482	15669	16772
483	15701	16739
484	15724	16697
485	15743	16650
486	15777	16619
487	15812	16590
488	15824	16536
489	15856	16503
490	15889	16472
491	15922	16439
492	15934	16386
493	15965	16353
494	15997	16320
495	16030	16289
496	16062	16256
497	16094	16224
498	16103	16168
499	16136	16136
500	16154	16090
501	16186	16057
502	16220	16026
503	16242	15984
504	16275	15953
505	16308	15921
506	16339	15888
507	16353	15838
508	16371	15792
509	16406	15763
510	16438	15730
511	16469	15697
512	16483	15648
513	16502	15603
514	16538	15575
515	16572	15544
516	16605	15513
517	16627	15471
518	16662	15442
519	16684	15401
520	16697	15351
521	16729	15319
522	16756	15282
523	16787	15249
524	16817	15215
525	16849	15183
526	16881	15151
527	16913	15119
528	16931	15074
529	16965	15044
530	16979	14996
531	17013	14966
532	17031	14922
533	17065	14892
534	17100	14863
535	17138	14836
536	17169	14803
537	17209	14778
538	17244	14748
539	17278	14718
540	17312	14688
541	17335	14648
542	17367	14617
543	17405	14589
544	17423	14546
545	17448	14508
546	17481	14477
547	17513	14445
548	17521	14393
549	17532	14344
550	17565	14313
551	17599	14283
552	17634	14254
553	17672	14227
554	17707	14197
555	17740	14166
556	17775	14137
557	17809	14107
558	17844	14077
559	17878	14047
560	17897	14005
561	17912	13960
562	17947	13930
563	17983	13902
564	18020	13874
565	18052	13842
566	18089	13814
567	18110	13774
568	18144	13743
569	18176	13712
570	18206	13678
571	18236	13645
572	18248	13599
573	18279	13566
574	18307	13531
575	18341	13501
576	18370	13467
577	18390	13426
578	18401	13379
579	18430	13345
580	18463	13314
581	18494	13282
582	18514	13242
583	18560	13221
584	18593	13190
585	18618	13153
586	18629	13107
587	18664	13077
588	18683	13037
589	18713	13004
590	18748	12975
591	18782	12945
592	18821	12917
593	18857	12889
594	18893	12860
595	18913	12820
596	18949	12791
597	18984	12762
598	19002	12721
599	19035	12690
600	19064	12657
601	19107	12632
602	19141	12602
603	19183	12577
604	19217	12547
605	19251	12516
606	19288	12488
607	19312	12451
608	19347	12421
609	19383	12392
610	19416	12361
611	19457	12335
612	19465	12288
613	19482	12247
614	19514	12216
615	19553	12189
616	19568	12147
617	19593	12111
618	19620	12076
619	19668	12055
620	19720	12035
621	19743	11998
622	19782	11970
623	19821	11943
624	19866	11920
625	19908	11894
626	19946	11865
627	19987	11839
628	20028	11813
629	20069	11786
630	20114	11762
631	20161	11739
632	20202	11713
633	20246	11688
634	20297	11667
635	20348	11645
636	20378	11613
637	20416	11584
638	20459	11558
639	20477	11518
640	20512	11488
641	20550	11459
642	20560	11415
643	20598	11386
644	20641	11360
645	20689	11337
646	20727	11308
647	20735	11263
648	20774	11235
649	20793	11196
650	20827	11165
651	20862	11134
652	20900	11106
653	20938	11077
654	20973	11047
655	21008	11016
656	21050	10989
657	21155	10995
658	21212	10976
659	21247	10945
660	21279	10913
661	21314	10882
662	21330	10842
663	21367	10812
664	21390	10775
665	21423	10744
666	21441	10704
667	21477	10674
668	21515	10645
669	21556	10617
670	21605	10593
671	21641	10562
672	21679	10533
673	21713	10502
674	21748	10471
675	21783	10440
676	21796	10399
677	21832	10368
678	21869	10338
679	21909	10310
680	21939	10277
681	21952	10235
682	21983	10203
683	22017	10171
684	22053	10141
685	22089	10111
686	22121	10078
687	22156	10047
688	22178	10010
689	22207	9977
690	22231	9941
691	22244	9900
692	22251	9857
693	22287	9826
694	22332	9800
695	22378	9774
696	22415	9744
697	22433	9706
698	22468	9675
699	22503	9644
700	22537	9613
701	22581	9585
702	22614	9554
703	22701	9544
704	22751	9520
705	22786	9488
706	22823	9458
707	22862	9428
708	22897	9398
709	22929	9365
710	22974	9338
711	23010	9307
712	23049	9277
713	23085	9247
714	23120	9215
715	23159	9186
716	23170	9145
717	23208	9115
718	23243	9083
719	23279	9053
720	23316	9022
721	23332	8983
722	23367	8952
723	23401	8920
724	23438	8890
725	23469	8857
726	23503	8825
727	23535	8793
728	23576	8764
729	23610	8732
730	23649	8702
731	23684	8671
732	23719	8640
733	23758	8610
734	23776	8572
735	23812	8541
736	23850	8510
737	23863	8472
738	23897	8440
739	23930	8407
740	23969	8378
741	24006	8347
742	24026	8310
743	24042	8272
744	24081	8242
745	24125	8214
746	24159	8182
747	24190	8149
748	24223	8117
749	24241	8080
750	24274	8048
751	24287	8009
752	24326	7979
753	24358	7947
754	24394	7916
755	24424	7883
756	24458	7851
757	24490	7818
758	24521	7786
759	24555	7754
760	24587	7722
761	24620	7689
762	24650	7656
763	24681	7624
764	24713	7591
765	24746	7559
766	24778	7527
767	24812	7495
768	24842	7462
769	24874	7430
770	24906	7397
771	24938	7365
772	24951	7327
773	24985	7295
774	25030	7266
775	25042	7228
776	25075	7196
777	25114	7166
778	25148	7134
779	25178	7101
780	25211	7069
781	25240	7036
782	25257	6999
783	25293	6968
784	25336	6939
785	25380	6910
786	25414	6878
787	25452	6847
788	25489	6816
789	25523	6784
790	25554	6752
791	25588	6720
792	25619	6687
793	25658	6656
794	25692	6625
795	25707	6588
796	25741	6556
797	25777	6525
798	25812	6493
799	25847	6461
800	25894	6433
801	25930	6401
802	25961	6369
803	25978	6333
804	26001	6298
805	26034	6266
806	26071	6235
807	26101	6202
808	26134	6170
809	26166	6137
810	26198	6105
811	26230	6073
812	26267	6041
813	26302	6010
814	26337	5978
815	26348	5941
816	26380	5909
817	26414	5877
818	26446	5844
819	26480	5812
820	26495	5776
821	26527	5744
822	26564	5713
823	26597	5680
824	26634	5649
825	26665	5617
826	26697	5584
827	26729	5552
828	26762	5520
829	26775	5484
830	26806	5451
831	26837	5419
832	26871	5387
833	26907	5355
834	26940	5323
835	26975	5291
836	27008	5259
837	27041	5227
838	27056	5192
839	27090	5160
840	27125	5128
841	27234	5110
842	27281	5080
843	27316	5049
844	27344	5015
845	27377	4983
846	27411	4951
847	27444	4919
848	27480	4887
849	27496	4852
850	27543	4822
851	27581	4791
852	27616	4759
853	27652	4727
854	27692	4696
855	27735	4665
856	27770	4633
857	27805	4601
858	27838	4569
859	27871	4537
860	27905	4505
861	27938	4472
862	27981	4441
863	28022	4410
864	28067	4380
865	28103	4348
866	28135	4316
867	28150	4281
868	28186	4249
869	28222	4217
870	28256	4184
871	28289	4152
872	28330	4121
873	28374	4090
874	28408	4058
875	28441	4025
876	28476	3993
877	28515	3962
878	28551	3930
879	28592	3899
880	28634	3867
881	28678	3836
882	28716	3805
883	28749	3772
884	28776	3739
885	28809	3706
886	28840	3674
887	28875	3641
888	28909	3609
889	28941	3577
890	28988	3546
891	29029	3514
892	29074	3483
893	29108	3451
894	29147	3419
895	29180	3386
896	29212	3354
897	29245	3321
898	29277	3289
899	29312	3256
900	29345	3224
901	29375	3191
902	29407	3158
903	29448	3127
904	29489	3095
905	29529	3063
906	29564	3031
907	29601	2999
908	29633	2966
909	29666	2934
910	29698	2901
911	29731	2868
912	29768	2836
913	29807	2804
914	29844	2772
915	29870	2739
916	29910	2707
917	29950	2675
918	29985	2642
919	30017	2610
920	30052	2577
921	30084	2545
922	30110	2511
923	30142	2479
924	30165	2445
925	30201	2413
926	30238	2381
927	30276	2349
928	30317	2317
929	30357	2284
930	30389	2252
931	30423	2219
932	30455	2187
933	30488	2154
934	30522	2121
935	30557	2089
936	30596	2057
937	30734	2031
938	30768	1998
939	30801	1966
940	30834	1933
941	30866	1900
942	30900	1867
943	30931	1834
944	30961	1801
945	30993	1769
946	31034	1736
947	31068	1704
948	31100	1671
949	31130	1638
950	31159	1605
951	31188	1572
952	31217	1539
953	31251	1506
954	31284	1474
955	31319	1441
956	31353	1408
957	31393	1376
958	31437	1344
959	31476	1311
960	31509	1278
961	31547	1246
962	31581	1213
963	31617	1180
964	31653	1148
965	31687	1115
966	31718	1082
967	31750	1049
968	31784	1016
969	31818	984
970	31850	951
971	31882	918
972	31918	885
973	31961	853
974	32007	820
975	32047	788
976	32087	755
977	32118	722
978	32152	689
979	32184	656
980	32217	623
981	32249	591
982	32282	558
983	32313	525
984	32344	492
985	32376	459
986	32411	426
987	32443	394
988	32476	361
989	32510	328
990	32550	295
991	32590	262
992	32629	230
993	32665	197
994	32701	164
995	32737	131
996	32772	98
997	32805	65
998	32837	32
999	32869	0
