iter	Logloss
0	0.6892511485
1	0.6827115227
2	0.675744751
3	0.6701028782
4	0.6644860216
5	0.6586512986
6	0.6523962981
7	0.6463476003
8	0.6417680367
9	0.637064675
10	0.6323103737
11	0.6280535828
12	0.6229283593
13	0.6173154249
14	0.6121094183
15	0.6095371028
16	0.6049588941
17	0.6006301765
18	0.5966526822
19	0.5924759627
20	0.5876374895
21	0.5842344957
22	0.5804465652
23	0.5764406748
24	0.5730679257
25	0.5698958668
26	0.5660495044
27	0.5630180587
28	0.5595136122
29	0.5568592659
30	0.5528592752
31	0.5500527006
32	0.5476045784
33	0.5449120821
34	0.5415175374
35	0.5384258011
36	0.5361097115
37	0.5329858734
38	0.5305879083
39	0.5282437741
40	0.5255702039
41	0.5222739264
42	0.5200827967
43	0.5179090478
44	0.5153927723
45	0.5129265199
46	0.5106352539
47	0.5085352594
48	0.5057049373
49	0.503816194
50	0.502059049
51	0.4996495186
52	0.4977643606
53	0.4958927079
54	0.4947974906
55	0.4925118748
56	0.4904287716
57	0.4888779513
58	0.4875305968
59	0.4855708117
60	0.4847009659
61	0.4827474691
62	0.4806182497
63	0.4794780836
64	0.4779756319
65	0.4765590869
66	0.474635776
67	0.4727702802
68	0.4715542117
69	0.4698309221
70	0.4688219523
71	0.4681701876
72	0.4666402434
73	0.4647947477
74	0.4631944027
75	0.4626019053
76	0.4616112701
77	0.4601678849
78	0.4589941807
79	0.4578574714
80	0.4564098224
81	0.4549017542
82	0.4537984743
83	0.4527611912
84	0.4516059552
85	0.451022685
86	0.4503070745
87	0.4489803827
88	0.4485313136
89	0.4477632595
90	0.4466073428
91	0.4452931647
92	0.4446526257
93	0.443925486
94	0.4430372993
95	0.4416174321
96	0.440802585
97	0.4401097536
98	0.4389000716
99	0.4382412495
100	0.4372635064
101	0.436438339
102	0.4363563087
103	0.4353209573
104	0.4344733871
105	0.4336158059
106	0.432871364
107	0.4317744369
108	0.4305942407
109	0.4296626031
110	0.4287693735
111	0.4275615217
112	0.4271996716
113	0.4265106998
114	0.4256433288
115	0.424630017
116	0.4237238697
117	0.4231040098
118	0.4223652427
119	0.4217768185
120	0.4213834714
121	0.420905766
122	0.4200816918
123	0.4198647964
124	0.4194485863
125	0.4187676538
126	0.4180357527
127	0.4175382394
128	0.4173547004
129	0.4168132062
130	0.4162658798
131	0.4154632283
132	0.4153677766
133	0.4148610441
134	0.4141304424
135	0.4135748365
136	0.4128366271
137	0.4123961141
138	0.4119129784
139	0.4116506964
140	0.4111335229
141	0.4106571647
142	0.4102735376
143	0.4095455217
144	0.4094238861
145	0.408843313
146	0.40829985
147	0.4081018897
148	0.4076420747
149	0.406988545
150	0.406305261
151	0.405553281
152	0.4050840425
153	0.4044853037
154	0.4041809233
155	0.4038035976
156	0.4031119826
157	0.4027999773
158	0.4024672358
159	0.4018609014
160	0.401294615
161	0.4009567646
162	0.4002908494
163	0.399979408
164	0.3996106437
165	0.3989906271
166	0.3989030976
167	0.398725047
168	0.3985155076
169	0.3978977416
170	0.3971526652
171	0.3968940164
172	0.3966281306
173	0.3961868299
174	0.3961372974
175	0.3958204668
176	0.395784683
177	0.3955293502
178	0.3954496431
179	0.3952366441
180	0.3948368278
181	0.3945959918
182	0.3941924601
183	0.3937682997
184	0.3936446685
185	0.3933433737
186	0.3930265906
187	0.392898429
188	0.3928848172
189	0.3926902075
190	0.3925432486
191	0.3923086872
192	0.3920210126
193	0.3919122423
194	0.3917488688
195	0.3915278858
196	0.391249979
197	0.3909627664
198	0.3905619235
199	0.3903185029
200	0.3897720096
201	0.3894175086
202	0.3890350765
203	0.3889500804
204	0.3886288357
205	0.3884912088
206	0.3883757774
207	0.3882787757
208	0.387839252
209	0.387734237
210	0.3877032668
211	0.3874665751
212	0.3870613291
213	0.3869391904
214	0.3865102705
215	0.3862380645
216	0.3860977339
217	0.3858932652
218	0.3857373997
219	0.3854510676
220	0.3851619302
221	0.3848182338
222	0.3845941141
223	0.3842686274
224	0.3840069238
225	0.3836622629
226	0.3835129871
227	0.3834930479
228	0.3833307136
229	0.3831798334
230	0.3829610255
231	0.382954742
232	0.3828012891
233	0.3825734763
234	0.3823850929
235	0.382330223
236	0.3822790077
237	0.3819469455
238	0.3815403261
239	0.3814927864
240	0.3810069491
241	0.3808902554
242	0.3806331355
243	0.3803623963
244	0.3802602502
245	0.3799749698
246	0.3797728664
247	0.379503601
248	0.3792850004
249	0.3790520879
250	0.3788919134
251	0.3785035185
252	0.3782318144
253	0.3780452069
254	0.3779451362
255	0.3774426184
256	0.3772819186
257	0.3770872289
258	0.3770661434
259	0.377002326
260	0.3768766571
261	0.3765622672
262	0.3764023331
263	0.3761762914
264	0.3761440019
265	0.3760640528
266	0.3758702885
267	0.375719807
268	0.3755670673
269	0.3753945032
270	0.3753249951
271	0.3752305501
272	0.3752282642
273	0.375196237
274	0.375079911
275	0.3747963716
276	0.3747507898
277	0.3747072209
278	0.3746942666
279	0.3745806649
280	0.3740096665
281	0.3739786459
282	0.3739714747
283	0.3739597757
284	0.3739254475
285	0.3737096989
286	0.3735891408
287	0.3734065232
288	0.3732143609
289	0.3731097227
290	0.3730783811
291	0.3729478193
292	0.3728423475
293	0.3726954057
294	0.3724779526
295	0.3722268802
296	0.3721824658
